feature	partner	model_id
FBXO7	SNRPD3	SIDM00281
PAK2	CTNNA1	SIDM00281
RANGAP1	LARGE1	SIDM00281
SEPT9	RCC1	SIDM00281
UBC	NCOR2	SIDM00281
LCAT	PSMB10	SIDM00282
CA6	ATP6V0D1	SIDM00283
IGKC	CPSF6	SIDM00283
TSC22D1	CCDC122	SIDM00283
CASTOR3	LINGO2	SIDM00284
MLC1	BCL2L13	SIDM00284
MYC	PVT1	SIDM00284
ARID4A	SYT1	SIDM00285
DDX1	GBP4	SIDM00285
DDX1	NBAS	SIDM00285
NBAS	DDX1	SIDM00285
RGS12	FAM193A	SIDM00285
SLC35A1	TSHZ2	SIDM00285
SYT1	ARID4A	SIDM00285
TEAD3	ANKIB1	SIDM00285
DDX1	NBAS	SIDM00286
GKAP1	UBQLN1	SIDM00286
CDAN1	ZNF589	SIDM00287
LINC01600	UBE4B	SIDM00287
PLXNA2	STIMATE	SIDM00287
PPFIA1	LINC01237	SIDM00287
SERPINB5	VPS4B	SIDM00287
ACTR10	PSMA3	SIDM00290
COA1	BLVRA	SIDM00290
CSMD3	LINC00824	SIDM00290
EFS	ACIN1	SIDM00290
LINC00824	CSMD3	SIDM00290
LINGO2	KIAA1958	SIDM00290
NSMCE2	WASHC5	SIDM00290
PACS1	CCS	SIDM00290
PTCH1	FANCC	SIDM00290
RUFY4	CNOT9	SIDM00290
SLC2A5	RERE	SIDM00290
SPECC1L	MAPT	SIDM00290
TAF2	ZHX1	SIDM00290
TNFAIP8	HSD17B4	SIDM00290
XPC	SMCHD1	SIDM00290
CHRM3	FMN2	SIDM00291
COG6	ZMYM2	SIDM00291
DIXDC1	SIK2	SIDM00291
DLGAP4	SNPH	SIDM00291
GIMD1	TBCK	SIDM00291
P3H2	IL1RAP	SIDM00291
PDZRN4	BAZ2A	SIDM00291
PLD1	TMEM41A	SIDM00291
PTPRR	TMTC3	SIDM00291
PTTG1	MIR146A	SIDM00291
SDC3	DNAJC11	SIDM00291
SLC2A2	SKIL	SIDM00291
SNRPB2	KIF16B	SIDM00291
USP30	PA2G4	SIDM00291
VGF	TUBB3	SIDM00291
ABHD6	CHDH	SIDM00292
CMIP	WWOX	SIDM00292
HACD3	INO80	SIDM00292
HERC2	PDCD6IP	SIDM00292
HMGN3	PHIP	SIDM00292
LIN9	ENAH	SIDM00292
LINC01037	LINC01036	SIDM00292
NEK11	WDPCP	SIDM00292
PIKFYVE	PTH2R	SIDM00292
PLCB4	PLCB1	SIDM00292
PLCD3	DCAKD	SIDM00292
RASSF2	RNF24	SIDM00292
SCGB3A2	JAKMIP2	SIDM00292
SLC5A12	BBOX1-AS1	SIDM00292
SORCS1	MXI1	SIDM00292
VCPIP1	MYBL1	SIDM00292
WDPCP	NEK11	SIDM00292
ARHGEF10L	EPB41	SIDM00293
CYP46A1	WDR25	SIDM00293
EIF2AK2	HEATR5B	SIDM00293
EIF2B3	TMEM53	SIDM00293
GID4	PHB	SIDM00293
GPR156	GSK3B	SIDM00293
MYC	CSMD3	SIDM00293
NAA40	FLRT1	SIDM00293
YPEL2	CLTC	SIDM00293
ARHGEF3	FAM208A	SIDM00294
BEGAIN	DEGS2	SIDM00294
CHD7	CLVS1	SIDM00294
COQ10A	FAM117A	SIDM00294
DNM2	SMARCA4	SIDM00294
E2F3	CDKAL1	SIDM00294
FBXL14	KDM5A	SIDM00294
GCGR	LRRC45	SIDM00294
ITGB3BP	RCC1	SIDM00294
KAT7	ITGA3	SIDM00294
MYC	CLVS1	SIDM00294
MYC	GPCPD1	SIDM00294
NCAPD2	C12orf57	SIDM00294
OGFRP1	NFAM1	SIDM00294
SDCCAG8	EFCAB2	SIDM00294
SLC39A9	SUSD6	SIDM00294
SLC45A4	PTK2	SIDM00294
ZNF738	TMEM206	SIDM00294
CRTC3	CEMIP	SIDM00296
EP300	L3MBTL2	SIDM00296
MAST1	NFIX	SIDM00296
SLC5A12	BBOX1-AS1	SIDM00296
UBR4	ALDH4A1	SIDM00296
ACO1	THAP12	SIDM00297
CASC21	PCAT1	SIDM00297
IKBKB	EFNA5	SIDM00297
RET	CCDC6	SIDM00297
SFMBT2	WAC	SIDM00297
TUBA1C	SPATS2	SIDM00297
ADIPOR2	WNT5B	SIDM00299
ALG12	CASP1	SIDM00299
CGGBP1	SRGAP3	SIDM00299
CHSY3	BRD9	SIDM00299
FGD5-AS1	CNTN6	SIDM00299
PRRG2	PRR12	SIDM00299
SRGAP3	VGLL3	SIDM00299
TGFB1	AXL	SIDM00299
TSEN2	SRGAP3	SIDM00299
VGLL3	SCN5A	SIDM00299
VGLL4	EDEM1	SIDM00299
ZNF385D	TATDN2	SIDM00299
AFP	NEK6	SIDM00300
ARHGEF3	HESX1	SIDM00300
C2orf88	UBE2E1	SIDM00300
C9orf3	MIR205HG	SIDM00300
EVA1C	ITSN1	SIDM00300
KIAA1211L	MRPL30	SIDM00300
LINC00276	ROCK2	SIDM00300
LOXHD1	PTBP2	SIDM00300
LPP	IGF2BP2	SIDM00300
MBNL2	TMEM132C	SIDM00300
MOV10L1	PANX2	SIDM00300
PANK2	MIR205HG	SIDM00300
PCNX2	NTPCR	SIDM00300
PLIN3	ADNP2	SIDM00300
RBFOX1	PCYT1A	SIDM00300
SEL1L	STON2	SIDM00300
SEMA3E	CACNA2D1	SIDM00300
SUGCT	XRCC4	SIDM00300
VMP1	DHX40	SIDM00300
WDPCP	CDK6	SIDM00300
YEATS2	TBL1XR1	SIDM00300
CES5AP1	BCR	SIDM00301
COLEC10	ZNF227	SIDM00301
ENTHD1	PRDM15	SIDM00301
NRXN1	USP34	SIDM00301
PES1	SPIDR	SIDM00301
PLB1	FOSL2	SIDM00301
BAHCC1	KLF5	SIDM00303
C12orf54	EXOC6B	SIDM00303
CCP110	VPS35L	SIDM00303
DNAI2	GOLPH3	SIDM00303
GALNTL6	PML	SIDM00303
LRRC6	FBXW11	SIDM00303
PFN4	ATAD2B	SIDM00303
PHF3	NDUFS4	SIDM00303
SLC26A11	RNF213	SIDM00303
VEGFB	ESRRA	SIDM00303
ADGRL3	BACE1	SIDM00304
AK5	MIGA1	SIDM00304
ASZ1	CAMSAP2	SIDM00304
ATG13	C11orf49	SIDM00304
BCL3	CBLC	SIDM00304
BICDL1	GATC	SIDM00304
CCDC47	SPAG9	SIDM00304
CDC123	C10orf111	SIDM00304
COPB1	RRAS2	SIDM00304
DNTTIP2	SUPT5H	SIDM00304
ENTPD6	PYGB	SIDM00304
FAM171B	ZC3H15	SIDM00304
GPR107	WNK2	SIDM00304
HEATR4	NUMB	SIDM00304
HIPK3	TRIM44	SIDM00304
HNRNPA1P57	SLC8A1	SIDM00304
HOXB3	SKAP1	SIDM00304
ISM2	VIPAS39	SIDM00304
ITFG1	NETO2	SIDM00304
LINC01320	MAP4K3	SIDM00304
LINC01553	CCDC6	SIDM00304
NMT2	CDC123	SIDM00304
NOS1	MED13L	SIDM00304
PACS2	CRIP1	SIDM00304
PACS2	TEDC1	SIDM00304
PMFBP1	AP1G1	SIDM00304
RAB6A	FAM168A	SIDM00304
RB1	CLIP2	SIDM00304
RNF213	RPTOR	SIDM00304
SLC24A1	SKAP2	SIDM00304
SMYD3	ZHX3	SIDM00304
SPATA19	AGL	SIDM00304
SRSF1	CHD2	SIDM00304
SSPN	TAX1BP1	SIDM00304
TANGO6	UTP4	SIDM00304
TENM4	ALG8	SIDM00304
VMP1	RPS6KB1	SIDM00304
CCDC57	DUS1L	SIDM00305
CIZ1	FAM102A	SIDM00305
CNNM4	GBP1	SIDM00305
DOCK9	STK24	SIDM00305
EGFEM1P	JSRP1	SIDM00305
FANCI	THEM6	SIDM00305
FBP2	IRF3	SIDM00305
KIAA2013	SLC35E2B	SIDM00305
PPFIA3	SAMD4B	SIDM00305
SCAPER	KDM2A	SIDM00305
TNNC1	UBE3C	SIDM00305
TTC34	DNAJC11	SIDM00305
MAEA	TMEM156	SIDM00306
NCOA6	PIGU	SIDM00306
ABL1	BCR	SIDM00308
BCR	ABL1	SIDM00308
CDC16	UPF3A	SIDM00308
ABLIM2	AFAP1	SIDM00309
C12orf73	TXNRD1	SIDM00309
FAM169B	FAM214A	SIDM00309
LAMTOR2	UBL3	SIDM00309
MAPK6	IGF1R	SIDM00309
MYO5A	XRCC5	SIDM00309
NOX5	SCAPER	SIDM00309
PTH2R	KLF7	SIDM00309
SCAPER	KIF23	SIDM00309
USPL1	HSPH1	SIDM00309
ABLIM2	AFAP1	SIDM00310
GPHN	MPP5	SIDM00310
HHAT	KCNH1	SIDM00310
LRGUK	CALD1	SIDM00310
C4orf51	WDFY3	SIDM00311
GRIK1	LINC00189	SIDM00311
HLA-A	HLA-B	SIDM00311
IMMP2L	ABCB1	SIDM00311
IPO4	KMT2D	SIDM00311
NPAS3	FAM114A1	SIDM00311
PDK1	SENP6	SIDM00312
ACYP2	ERLEC1	SIDM00313
AK9	ZBTB24	SIDM00313
AKAP13	ITPR1	SIDM00313
C9orf78	FNBP1	SIDM00313
CUEDC1	DCAKD	SIDM00313
DCAKD	GOSR1	SIDM00313
FKBP5	GMDS	SIDM00313
IGHV7-81	PDCD1LG2	SIDM00313
KDM4C	UHRF2	SIDM00313
KIAA0513	PAPLN	SIDM00313
MAD1L1	SNX8	SIDM00313
PAPLN	KIAA0513	SIDM00313
PPP2R5A	DTL	SIDM00313
PTBP3	HSDL2	SIDM00313
SMURF2	FMNL1	SIDM00313
TTLL5	BATF	SIDM00313
CDKN2B-AS1	MTAP	SIDM00315
VMP1	CLTC	SIDM00315
PTEN	PAPSS2	SIDM00316
REC114	ATP2B4	SIDM00316
STAB2	SYT1	SIDM00316
COL4A2	COL4A1	SIDM00317
EMID1	EWSR1	SIDM00317
PPFIBP2	STIM1	SIDM00317
REXO1	ATP8B3	SIDM00318
ABHD2	BCR	SIDM00319
ALG14	LARS2	SIDM00319
FAM19A1	PPARGC1B	SIDM00319
LINC00304	AFG3L1P	SIDM00319
PPME1	RNF169	SIDM00319
PPP2R3B	ACOT9	SIDM00319
SPATA13	MID1	SIDM00319
ALG14	CCDC18	SIDM00320
ANKRD36C	MYCNOS	SIDM00320
AP1B1	TTC28	SIDM00320
CDKN2B-AS1	FOCAD	SIDM00320
ERN1	TEX2	SIDM00320
FER	DTWD2	SIDM00320
GPAT2	NBAS	SIDM00320
LINC01590	ANKRD6	SIDM00320
MBOAT2	DDX1	SIDM00320
NBAS	ANKRD36C	SIDM00320
NBAS	KIDINS220	SIDM00320
PHF14	NDUFA4	SIDM00320
PKIB	AFG1L	SIDM00320
PSMF1	CRLS1	SIDM00320
SRD5A2	MEMO1	SIDM00320
CELF5	NFIC	SIDM00321
FYB1	RICTOR	SIDM00321
DCST1	FDPS	SIDM00322
DCUN1D3	GCLC	SIDM00322
GMEB2	SMARCA4	SIDM00322
HECTD1	STRN3	SIDM00322
HS1BP3	ATL2	SIDM00322
LINC00664	ZNF429	SIDM00322
LINC01122	NBAS	SIDM00322
PPP2R5D	ZNF184	SIDM00322
PPP6R3	SPTBN2	SIDM00322
SLC39A11	LINC00511	SIDM00322
SNX30	HSDL2	SIDM00322
SOS2	NEMF	SIDM00322
STEAP3	RALB	SIDM00322
TMEM38B	MAMLD1	SIDM00322
ANKLE2	PXMP2	SIDM00323
BCL6	CIITA	SIDM00323
CAPRIN1	EIF3H	SIDM00323
DNAJA3	ARGLU1	SIDM00323
IGF2BP3	MBNL1	SIDM00323
NF1	TLL2	SIDM00323
OLFML2A	PNRC1	SIDM00323
PDS5B	RCBTB2	SIDM00323
TLL2	NF1	SIDM00323
C9orf3	CPSF6	SIDM00324
CLASRP	PPP1R37	SIDM00324
DDX1	FAM49A	SIDM00324
FRMD5	PPIP5K1	SIDM00324
FUS	SF1	SIDM00324
MAN1A1	FAM184A	SIDM00324
SYNE2	PLEKHG3	SIDM00324
GRIA4	CEP55	SIDM00325
IL33	PLGRKT	SIDM00325
LSM14B	SS18L1	SIDM00325
MON2	USP15	SIDM00325
SHANK2	NOP53	SIDM00325
SMTNL1	TMX2	SIDM00325
UGT8	ELF2	SIDM00325
CASC8	ST3GAL1	SIDM00326
DEAF1	SPRED2	SIDM00326
MLIP	CHD6	SIDM00326
OAS1	SPPL3	SIDM00326
TRIB1	COQ8B	SIDM00326
WISP1	PVT1	SIDM00326
AKAP7	EBF1	SIDM00327
MYLPF	TNRC18	SIDM00327
NSD1	RGS14	SIDM00327
SLCO3A1	ELMO1	SIDM00327
SPATA16	NCEH1	SIDM00327
THUMPD3	ATG7	SIDM00327
ZNF629	TNRC18	SIDM00327
C15orf41	MEIS2	SIDM00328
CCDC77	SHANK2	SIDM00328
EMILIN2	HCG18	SIDM00328
MIPOL1	TTC6	SIDM00328
MS4A15	SPTBN2	SIDM00328
POTEA	ACTN4	SIDM00328
SAMD4A	FBXO34	SIDM00328
SHANK2	TMX2	SIDM00328
SHANK2	TMX2-CTNND1	SIDM00328
ATF6	BRD7	SIDM00329
FBXL2	CLASP2	SIDM00329
IL12RB2	SERBP1	SIDM00329
PAFAH1B2	RNF214	SIDM00329
SHBG	TMEM256-PLSCR3	SIDM00329
SFTPB	GGCX	SIDM00330
CDKN2B-AS1	MTAP	SIDM00331
ANKRD30A	ATP8A2P1	SIDM00332
ANKRD62P1	ANKRD62P1-PARP4P3	SIDM00332
AP3M1	DLG5	SIDM00332
ATE1	FGFR2	SIDM00332
CASC11	FGFR2	SIDM00332
CRYBG1	FGFR2	SIDM00332
DAAM2	STAT6	SIDM00332
DUSP13	DLG5	SIDM00332
EPHA6	ST3GAL6	SIDM00332
ERLIN2	SPIDR	SIDM00332
FAM177A1	PHACTR2	SIDM00332
FGD3	KAT6B	SIDM00332
FGFR2	MAP2K3	SIDM00332
FGFR2	PVT1	SIDM00332
FGFR2	SPECC1	SIDM00332
FRMD4A	ATP2B4	SIDM00332
GABRR3	TPRA1	SIDM00332
HEATR4	NUMB	SIDM00332
IFI16	FBXO28	SIDM00332
JAKMIP2	RALBP1	SIDM00332
KAT6B	LMAN2	SIDM00332
KIAA1468	ZCCHC2	SIDM00332
KLHL32	C6orf203	SIDM00332
LIN9	TAF5L	SIDM00332
LINC00964	EPN2	SIDM00332
LINC01153	EPN2	SIDM00332
LINC01153	FGFR2	SIDM00332
LSM3	SLC6A6	SIDM00332
LY75	FGFR2	SIDM00332
MAMDC2	WBP1L	SIDM00332
MED26	HECTD1	SIDM00332
NRG3	INVS	SIDM00332
NSMCE2	PVT1	SIDM00332
NWD2	C4orf19	SIDM00332
PDE4DIP	MTMR11	SIDM00332
PVT1	MAP2K3	SIDM00332
RALBP1	PPP4R1	SIDM00332
RBM39	NFS1	SIDM00332
SPRR2F	TRADD	SIDM00332
STAT6	ZMIZ1	SIDM00332
TATDN1	SPECC1	SIDM00332
UNC50	SEC24C	SIDM00332
UNC93B1	MRPL21	SIDM00332
ZNF765	ZNF677	SIDM00332
EFCAB2	KIF26B	SIDM00333
EXOSC4	MROH1	SIDM00333
NIPAL2	STK3	SIDM00333
SGSM1	KIAA1671	SIDM00333
STX11	UTRN	SIDM00333
UFD1	C22orf39	SIDM00333
ZNF544	ZNF8	SIDM00333
DNTTIP2	BCAR3	SIDM00334
AGPAT3	CHST3	SIDM00335
BRD8	FAM13B	SIDM00335
CELA3A	CDC42	SIDM00335
CELSR3	SMARCC1	SIDM00335
CHID1	GATD1	SIDM00335
COL26A1	COPB2	SIDM00335
CYP20A1	ABI2	SIDM00335
DDX19A	GON4L	SIDM00335
DDX19B	GON4L	SIDM00335
DENND6B	BRD1	SIDM00335
DMRT1	KMT2B	SIDM00335
ECSIT	RGL3	SIDM00335
ETF1	BRD8	SIDM00335
FGD5	ELMSAN1	SIDM00335
GTF3C6	REV3L	SIDM00335
HEATR4	NUMB	SIDM00335
HM13	TPX2	SIDM00335
MIR4523	NUFIP2	SIDM00335
MKNK1	PIK3R3	SIDM00335
MTHFD1L	PLEKHG1	SIDM00335
MYH7	SLC22A17	SIDM00335
MYO15B	BLMH	SIDM00335
PDIA3	WDR76	SIDM00335
RAPGEF4	NUTM2B-AS1	SIDM00335
RPTOR	CHMP6	SIDM00335
SLC13A2	SUPT6H	SIDM00335
SYT12	KDM2A	SIDM00335
THSD7B	TMEM163	SIDM00335
WDR70	NIPBL	SIDM00335
ELAVL4	CTBS	SIDM00336
LINC00511	SLC39A11	SIDM00336
PITPNM2	VPS37B	SIDM00336
KIAA1549L	CHKA	SIDM00337
PPP6R3	DEXI	SIDM00337
USP47	SLC22A18AS	SIDM00337
VPS35L	STIM1	SIDM00337
CERS6	CARMIL2	SIDM00338
MYH11	CBFB	SIDM00338
UBC	SCARB1	SIDM00338
ADK	LRMDA	SIDM00339
ARHGAP15	KYNU	SIDM00339
ERAL1	UBE2Q2P6	SIDM00339
CREBBP	SLX4	SIDM00340
DAB1	TRAF3	SIDM00340
ELK2AP	PVT1	SIDM00340
IGHG4	NSD2	SIDM00340
MAN1A1	MCM9	SIDM00340
TAF6L	TMEM179B	SIDM00340
VDR	PSPC1	SIDM00340
HSD17B4	TNFAIP8	SIDM00341
NME2	CDH4	SIDM00341
NUP214	SET	SIDM00342
ACAD10	MAPKAPK5	SIDM00343
AP5Z1	EIF2AK1	SIDM00343
BABAM2	RPS25	SIDM00343
CAST	EXT1	SIDM00343
CEP131	AXIN1	SIDM00343
FBXL18	ZDHHC4	SIDM00343
FOXK1	TNRC18	SIDM00343
LTBP1	BIRC6	SIDM00343
PRKN	ABCC4	SIDM00343
RAC1	DAGLB	SIDM00343
RASA1	MEF2C-AS1	SIDM00343
RGS13	DPYD	SIDM00343
RNF216	GLCCI1	SIDM00343
RNF216	UMAD1	SIDM00343
SCEL	C19orf12	SIDM00343
SEPT2	UGGT2	SIDM00343
USP42	RBAK	SIDM00343
USP42	RBAK-RBAKDN	SIDM00343
MTAP	CDKN2B-AS1	SIDM00344
TMEM59L	CRTC1	SIDM00344
ASAP2	IAH1	SIDM00345
ATG16L1	DGKD	SIDM00345
CDC16	RABL6	SIDM00345
CUX1	PRKRIP1	SIDM00345
GOLGA1	NR6A1	SIDM00345
INPP5D	ATG16L1	SIDM00345
MALINC1	SEC24A	SIDM00345
MYOM1	RAB31	SIDM00345
NF2	ELFN2	SIDM00345
PTPRD	JAK2	SIDM00345
SACM1L	P4HA1	SIDM00345
TRAK2	CLK1	SIDM00345
ABL1	BCR	SIDM00346
BCR	ABL1	SIDM00346
KCTD1	PCAT18	SIDM00346
ADGRL3	RIMS2	SIDM00347
C9orf3	MIR205HG	SIDM00347
GLRA2	LATS2	SIDM00347
ODF1	OXR1	SIDM00347
PHTF2	PTPN12	SIDM00347
RIMS2	OXR1	SIDM00347
SDAD1	ADGRL3	SIDM00347
SNX25	C5orf24	SIDM00347
ZFPM2-AS1	PNO1	SIDM00347
FAM133B	SUN1	SIDM00348
INA	NF1	SIDM00348
MAP7	NHSL1	SIDM00348
MOCOS	FHOD3	SIDM00348
OGFOD3	B3GNTL1	SIDM00348
POU2F1	MPZL1	SIDM00348
RNF135	FANCI	SIDM00348
RYR1	ACTN4	SIDM00348
VMP1	RPS6KB1	SIDM00348
COL24A1	ZNHIT6	SIDM00349
PMFBP1	ZFHX3	SIDM00349
BCAS4	PTPN1	SIDM00350
CASC8	CCAT1	SIDM00350
CORIN	FRYL	SIDM00350
MAP4	SCAP	SIDM00350
PSMC4	LSM14A	SIDM00350
ABCA4	BCAR3	SIDM00351
AHRR	CEP72	SIDM00351
CRIP1	USP37	SIDM00351
CUBN	CHMP2B	SIDM00351
DLK2	LSM2	SIDM00351
KCNAB1	LINC00886	SIDM00351
MAML2	YAP1	SIDM00351
MARK3	KLC1	SIDM00351
MRPS18A	XPO5	SIDM00351
MSRB3	HMGA2	SIDM00351
PDCD6	CEP72	SIDM00351
PLCL2	SLC6A11	SIDM00351
PTPRF	ST3GAL3	SIDM00351
SLC6A11	RAF1	SIDM00351
AVPI1	TRPC4AP	SIDM00352
BRK1	LDLR	SIDM00352
CCDC7	GDA	SIDM00352
COL4A1	NUMB	SIDM00352
DEAF1	RNH1	SIDM00352
GPR75-ASB3	PSME4	SIDM00352
LINC00243	RXFP1	SIDM00352
MRPS23	MSI2	SIDM00352
NECTIN2	RELB	SIDM00352
PDE4D	DEPDC1B	SIDM00352
RPS6KB1	CLTC	SIDM00352
RXFP1	PPP1R18	SIDM00352
SHROOM2	TBL1X	SIDM00352
TSG101	EXT1	SIDM00352
AMOTL1	KDM4D	SIDM00353
CCDC69	TNIP1	SIDM00353
CLDN16	PTP4A2	SIDM00353
DAZL	RFTN1	SIDM00353
ELN	EIF4H	SIDM00353
FOXK2	FN3KRP	SIDM00353
GNA11	NCLN	SIDM00353
GTF2IRD2B	GTF2I	SIDM00353
HK1	TSPAN15	SIDM00353
KIAA0391	SRP54	SIDM00353
OVCH1-AS1	CCDC91	SIDM00353
P2RX4	CAMKK2	SIDM00353
POU2F3	ARHGEF12	SIDM00353
SLC39A14	PPP3CC	SIDM00353
TRNAU1AP	GMEB1	SIDM00353
TSPAN11	BCAT1	SIDM00353
BICRAL	CNPY3	SIDM00354
EPHA6	VPS8	SIDM00354
KNL1	USP13	SIDM00354
TAPT1	BACE2	SIDM00354
RPL13	CPNE7	SIDM00355
CPT1C	PTOV1	SIDM00356
DPYD	ZRANB2-AS2	SIDM00356
ABCC1	CROCCP2	SIDM00358
ACSBG1	QRICH1	SIDM00358
ACSS2	RTKN2	SIDM00358
ANKRD52	SMARCC2	SIDM00358
ARID1A	UACA	SIDM00358
BCL3	CBLC	SIDM00358
CENPP	DCAF10	SIDM00358
CHRDL2	FBXL20	SIDM00358
COQ5	PRPF40B	SIDM00358
EDEM2	TRPC4AP	SIDM00358
GFRA1	VTI1A	SIDM00358
GSS	ZNF431	SIDM00358
HEATR4	NUMB	SIDM00358
IKZF3	SLC35G1	SIDM00358
LAMB1	IMMP2L	SIDM00358
MCAT	PACSIN2	SIDM00358
NOL4L	BPIFB3	SIDM00358
PRKG1	IPMK	SIDM00358
RBM25	PSEN1	SIDM00358
REEP3	TMEM26-AS1	SIDM00358
SERPINE3	WDFY2	SIDM00358
TEK	PAIP1	SIDM00358
UBC	SCARB1	SIDM00358
UBE2D1	VTI1A	SIDM00358
UPF1	LINC00664	SIDM00358
WBP1L	GBF1	SIDM00358
KCNN2	APC	SIDM00359
UBC	SCARB1	SIDM00359
YIPF6	MID1	SIDM00359
CCDC60	SLC16A7	SIDM00360
EIF2AK1	PMS2	SIDM00360
HOXB-AS3	HOXB3	SIDM00360
LINC01204	KDM6A	SIDM00360
MAGOHB	PRH1	SIDM00360
OS9	SRSF4	SIDM00360
STYK1	PRH1	SIDM00360
DLG2	PICALM	SIDM00362
IGKV2-24	IGKV1-8	SIDM00362
PPP1R21	MSH2	SIDM00362
SCAPER	UBL3	SIDM00362
SPZ1	WDR41	SIDM00362
UBL3	SCAPER	SIDM00362
WDR41	PRPF40A	SIDM00362
CAMTA1	PRKCZ	SIDM00363
DYNC1I1	KCTD7	SIDM00363
H2AFV	TNS3	SIDM00363
MLLT10	PICALM	SIDM00363
PICALM	MLLT10	SIDM00363
RBM6	GNAI2	SIDM00363
STEAP4	LINC-PINT	SIDM00363
CCNL2	IGLL5	SIDM00364
EZH2	IGLL5	SIDM00364
HNRNPUL1	MEF2D	SIDM00364
MTHFD1L	CRACR2A	SIDM00364
APOL2	KIAA1671	SIDM00365
C4orf33	CCSER1	SIDM00365
CBX7	MKL1	SIDM00365
MMRN1	CCSER1	SIDM00365
OSBP2	MAPK1	SIDM00365
OSBP2	PHF21B	SIDM00365
POU6F2-AS2	VPS41	SIDM00365
RNF144B	CDKAL1	SIDM00365
SIPA1L3	FAM98C	SIDM00365
BBS12	FGF2	SIDM00367
C11orf80	RAD9A	SIDM00367
CEP41	MEST	SIDM00367
CPA4	MEST	SIDM00367
CUL1	ZNF532	SIDM00367
FAM96A	HERC1	SIDM00367
FBXW11	STK10	SIDM00367
GTF2IRD1	GTF2I	SIDM00367
HMCN1	PLA2G4A	SIDM00367
LIMA1	FMNL3	SIDM00367
LYL1	TNPO2	SIDM00367
NUTM1	BRD4	SIDM00367
PDE4B	SGIP1	SIDM00367
RAB13	GATAD2B	SIDM00367
TMEM26-AS1	ARID5B	SIDM00367
ZDHHC21	NFIB	SIDM00367
ZNF300P1	ZNF300	SIDM00367
HSP90B1	C12orf73	SIDM00368
KCNJ6	DSCR4	SIDM00368
KIRREL3	JAM3	SIDM00368
LRRC53	TDG	SIDM00368
MUC19	CNTN1	SIDM00368
TBCB	CAPNS1	SIDM00368
VMP1	RPS6KB1	SIDM00368
WNT2	DNAJB6	SIDM00368
CHST11	CERCAM	SIDM00369
CLTC	VMP1	SIDM00369
ITGA1	ITGA2	SIDM00369
USH1C	PIK3C2A	SIDM00369
PLIN3	UHRF1	SIDM00370
ENDOV	TUBA1C	SIDM00371
NUP160	FNBP4	SIDM00371
R3HDML	HNF4A	SIDM00371
TRERF1	REV3L	SIDM00371
CDC16	UPF3A	SIDM00374
IGLC2	IGLVI-70	SIDM00374
TMEM68	LYN	SIDM00374
ARHGAP26	SLC1A5	SIDM00375
C4orf36	CSNK1G2	SIDM00375
GREM1	FMN1	SIDM00375
MYH9	TTC21B	SIDM00375
MYO1D	PFKL	SIDM00375
NOL8	SPTLC1	SIDM00376
TRAC	TRAV8-1	SIDM00376
ARHGAP26	SLC1A5	SIDM00377
C4orf36	CSNK1G2	SIDM00377
GREM1	FMN1	SIDM00377
HPGDS	FARS2	SIDM00377
MYH9	TTC21B	SIDM00377
MYO1D	PFKL	SIDM00377
PRKCH	SNAPC1	SIDM00377
RERE	HMGA2	SIDM00377
UBC	NCOR2	SIDM00377
CREBRF	UIMC1	SIDM00379
GNB1	RCC1	SIDM00379
HSBP1	CDH13	SIDM00379
LGR5	FXR1	SIDM00379
LSM1	ADAM9	SIDM00379
UIMC1	ATP6V0E1	SIDM00379
WNK1	WNT5B	SIDM00379
ZNF277	CAPZA2	SIDM00379
ADSL	TNRC6B	SIDM00380
GSE1	PVT1	SIDM00380
NUP58	SSBP4	SIDM00380
SSX4B	CLCN5	SIDM00380
TYK2	DNMT1	SIDM00380
C16orf45	IKZF3	SIDM00381
CACNA1H	PVT1	SIDM00381
CASC21	IKZF3	SIDM00381
CASC21	LMF1	SIDM00381
CASC21	MIR1204	SIDM00381
CASC21	PVT1	SIDM00381
CASC8	PVT1	SIDM00381
CDKL5	ECPAS	SIDM00381
DCLRE1A	TOM1L2	SIDM00381
GSDMA	EXT1	SIDM00381
HK1	TSPAN15	SIDM00381
IKZF3	PDXDC1	SIDM00381
IKZF3	PVT1	SIDM00381
MAP7	MAP3K5	SIDM00381
NHLRC2	PYROXD2	SIDM00381
OPRD1	EPB41	SIDM00381
PACS1	ANO9	SIDM00381
PCAT1	EXT1	SIDM00381
PHF12	FLOT2	SIDM00381
RNF185	LIMK2	SIDM00381
RPS15A	CRAMP1	SIDM00381
SAMD12	ORMDL3	SIDM00381
SMIM24	AP3D1	SIDM00381
TCAP	NEUROD2	SIDM00381
KIAA1324	AHCYL1	SIDM00382
PIK3CD	ADAR	SIDM00382
SLC38A7	CNOT1	SIDM00382
ADCY8	ASAP1	SIDM00383
ADSS	AKT3	SIDM00383
AP3D1	REXO1	SIDM00383
ATP5MC2	ATF7	SIDM00383
BAZ2A	RBMS2	SIDM00383
CDK11B	FAM222B	SIDM00383
CTNNA1	PAIP2	SIDM00383
CYB5B	NFAT5	SIDM00383
DGKG	FOXO3	SIDM00383
DNM1P49	PTPN9	SIDM00383
EGLN1	TAF5L	SIDM00383
FGR	WASF2	SIDM00383
GAB2	RSF1	SIDM00383
HIVEP3	SCMH1	SIDM00383
HNRNPF	RASGEF1A	SIDM00383
HSPA5	SCAI	SIDM00383
KCNJ6	DSCR4	SIDM00383
