broad	ccle_name	sanger	alt_ccle	alt_broad
ACH-000090	PC3_PROSTATE	SIDM00088		
ACH-000091	OV56_OVARY	SIDM00475		
ACH-000092	NCIH2452_PLEURA	SIDM00722		
ACH-000093	PANC0504_PANCREAS	SIDM01777		
ACH-000094	HPAFII_PANCREAS	SIDM00669		
ACH-000095	D341MED_CENTRAL_NERVOUS_SYSTEM	SIDM01492		
ACH-000096	G401_SOFT_TISSUE	SIDM00856		
ACH-000097	ZR751_BREAST	SIDM00314		
ACH-000098	GAMG_CENTRAL_NERVOUS_SYSTEM	SIDM01055		
ACH-000099	SIMA_AUTONOMIC_GANGLIA	SIDM00395		
ACH-000100	RH41_SOFT_TISSUE	SIDM00426		
ACH-000101	KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01003		
ACH-000102	GMS10_CENTRAL_NERVOUS_SYSTEM	SIDM01074		
ACH-000103	CAOV4_OVARY	SIDM00918		
ACH-000104	LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00342		
ACH-000105	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00994		
ACH-000106	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01013		
ACH-000107	CAPAN2_PANCREAS	SIDM00943		
ACH-000108	KP3_PANCREAS	SIDM00571		
ACH-000109	NCIH3255_LUNG	SIDM00046		
ACH-000110	NCCSTCK140_STOMACH	SIDM01682		
ACH-000111	HCC1187_BREAST	SIDM00885		
ACH-000112	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00396		
ACH-000113	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00446		
ACH-000114	SU8686_PANCREAS	SIDM01188		
ACH-000115	VCAP_PROSTATE	SIDM01077		
ACH-000116	OAW28_OVARY	SIDM00481		
ACH-000117	EFM192A_BREAST	SIDM01002		
ACH-000118	HUPT3_PANCREAS	SIDM00533		
ACH-000119	HS863T_FIBROBLAST	SIDM01726		
ACH-000120	CHP212_AUTONOMIC_GANGLIA	SIDM00910		
ACH-000121	NCIH2405_LUNG	SIDM00724		
ACH-000122	SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE			
ACH-000123	COV434_OVARY	SIDM01476		
ACH-000124	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00460		
ACH-000125	TO175T_FIBROBLAST	SIDM01759		
ACH-000126	KG1C_CENTRAL_NERVOUS_SYSTEM	SIDM00784		
ACH-000127	SLR20_KIDNEY	SIDM01341		
ACH-000128	LN319_CENTRAL_NERVOUS_SYSTEM	SIDM01626		
ACH-000129	NCIH1341_LUNG	SIDM00646		
ACH-000130	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01685		
ACH-000131	HS229T_FIBROBLAST	SIDM01615		
ACH-000132	JHOS2_OVARY	SIDM00305		
ACH-000133	HS729_SOFT_TISSUE	SIDM01560		
ACH-000134	HS274T_FIBROBLAST	SIDM01592		
ACH-000135	HS940T_FIBROBLAST	SIDM00662		
ACH-000136	CHP126_AUTONOMIC_GANGLIA	SIDM00286		
ACH-000137	8MGBA_CENTRAL_NERVOUS_SYSTEM	SIDM00998		
ACH-000138	CFPAC1_PANCREAS	SIDM00130		
ACH-000139	PANC0327_PANCREAS	SIDM01138		
ACH-000140	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01775		
ACH-000141	SNU308_BILIARY_TRACT	SIDM00161		
ACH-000142	CAL29_URINARY_TRACT	SIDM00936		
ACH-000143	HCC2429_LUNG	SIDM01601		
ACH-000144	RERFGC1B_STOMACH	SIDM00358		
ACH-000145	SKLMS1_SOFT_TISSUE	SIDM01109		
ACH-000146	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01172		
ACH-000147	T47D_BREAST	SIDM00097		
ACH-000148	HS578T_BREAST	SIDM00135		
ACH-000149	SKNSH_AUTONOMIC_GANGLIA	SIDM01098		
ACH-000150	HCC2935_LUNG	SIDM01598		
ACH-000151	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00689		
ACH-000152	M059K_CENTRAL_NERVOUS_SYSTEM	SIDM00639		
ACH-000153	NCIH2052_PLEURA	SIDM00713		
ACH-000154	HS888T_FIBROBLAST	SIDM01746		
ACH-000155	SW1990_PANCREAS	SIDM01165		
ACH-000156	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00376		
ACH-000157	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00502		
ACH-000158	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01778		
ACH-000159	OSRC2_KIDNEY	SIDM00239		
ACH-000160	BT12_SOFT_TISSUE	SIDM01514		
ACH-000161	CORL105_LUNG	SIDM00513		
ACH-000162	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00854		
ACH-000163	SW579_THYROID	SIDM01167		
ACH-000164	PANC1_PANCREAS	SIDM00610		
ACH-000165	HS751T_FIBROBLAST	SIDM01700		
ACH-000166	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01695		
ACH-000167	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01589	KE97_STOMACH	
ACH-000168	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00580		
ACH-000169	RD_SOFT_TISSUE	SIDM00847		
ACH-000170	PRECLH_PROSTATE			
ACH-000171	VMRCRCZ_KIDNEY	SIDM00317		
ACH-000172	TM87_SOFT_TISSUE			
