broad	ccle_name	sanger	alt_ccle	alt_broad
ACH-000406	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01195		
ACH-000407	SNU685_ENDOMETRIUM	SIDM00165		
ACH-000408	TE5_OESOPHAGUS	SIDM00347		
ACH-000409	OVSAHO_OVARY	SIDM01377		
ACH-000410	SAOS2_BONE	SIDM01084		
ACH-000411	769P_KIDNEY	SIDM00803		
ACH-000412	SNU1197_LARGE_INTESTINE	SIDM00171		
ACH-000413	HS739T_FIBROBLAST	SIDM01702		
ACH-000414	NCIH1944_LUNG	SIDM00762		
ACH-000415	BICR6_UPPER_AERODIGESTIVE_TRACT	SIDM01517		
ACH-000416	NCIH838_LUNG	SIDM01150		
ACH-000417	PANC0813_PANCREAS	SIDM01136		
ACH-000418	SW1353_BONE	SIDM01766		
ACH-000419	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01657		
ACH-000420	SNU449_LIVER	SIDM01194		
ACH-000421	SW837_LARGE_INTESTINE	SIDM00833		
ACH-000422	SNU475_LIVER	SIDM01196		
ACH-000423	SKMEL3_SKIN	SIDM01105		
ACH-000424	TC71_BONE	SIDM00419		
ACH-000425	UACC62_SKIN	SIDM00107		
ACH-000426	KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01575		
ACH-000427	NCIN87_STOMACH	SIDM01147		
ACH-000428	UO31_KIDNEY	SIDM00112		
ACH-000429	A704_KIDNEY	SIDM00849		
ACH-000430	TYKNU_OVARY	SIDM00321		
ACH-000431	NCIH1694_LUNG	SIDM00741		
ACH-000432	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00962		
ACH-000433	CAKI1_KIDNEY	SIDM00941		
ACH-000434	NCIH1915_LUNG	SIDM00763		
ACH-000435	EFE184_ENDOMETRIUM	SIDM01502		
ACH-000436	OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01379		
ACH-000437	SW1088_CENTRAL_NERVOUS_SYSTEM	SIDM01155		
ACH-000438	LU65_LUNG	SIDM00547		
ACH-000439	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00338		
ACH-000440	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00907		
ACH-000441	SH4_SKIN	SIDM01079		
ACH-000442	RERFLCSQ1_LUNG	SIDM00354		
ACH-000443	OVKATE_OVARY	SIDM00466		
ACH-000444	LU99_LUNG	SIDM00546		
ACH-000445	KNS60_CENTRAL_NERVOUS_SYSTEM	SIDM01494		
ACH-000446	KPNSI9S_AUTONOMIC_GANGLIA	SIDM00016		
ACH-000447	NCIH2228_LUNG	SIDM00729		
ACH-000448	NCIH1666_LUNG	SIDM00743		
ACH-000449	MESSA_SOFT_TISSUE	SIDM00625		
ACH-000450	MELHO_SKIN	SIDM00337		
ACH-000451	NCIH2085_LUNG	SIDM00709		
ACH-000452	TE8_OESOPHAGUS	SIDM00326		
ACH-000453	MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01690		
ACH-000454	HCC95_LUNG	SIDM01593		
ACH-000455	LN428_CENTRAL_NERVOUS_SYSTEM	SIDM01642		
ACH-000456	BCPAP_THYROID	SIDM00992		
ACH-000457	CAL54_KIDNEY	SIDM00932		
ACH-000458	CJM_SKIN	SIDM01512		
ACH-000459	TUHR10TKB_KIDNEY	SIDM01454		
ACH-000460	SNU8_OVARY	SIDM01437		
ACH-000461	SNU1196_BILIARY_TRACT	SIDM00163		
ACH-000462	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01686		
ACH-000463	NCIH460_LUNG	SIDM00144		
ACH-000464	CAS1_CENTRAL_NERVOUS_SYSTEM	SIDM00212		
ACH-000465	SKMEL1_SKIN	SIDM01107		
ACH-000466	SNU216_STOMACH	SIDM01393		
ACH-000467	HCC56_LARGE_INTESTINE	SIDM00597		
ACH-000468	PK45H_PANCREAS	SIDM01320		
ACH-000469	YH13_CENTRAL_NERVOUS_SYSTEM	SIDM00316		
ACH-000470	SW1463_LARGE_INTESTINE	SIDM00834		
ACH-000471	LI7_LIVER	SIDM01472		
ACH-000472	HSC2_UPPER_AERODIGESTIVE_TRACT	SIDM00590		
ACH-000473	RT112_URINARY_TRACT	SIDM00402		
ACH-000475	HUH1_LIVER	SIDM00586		
ACH-000476	JHH4_LIVER	SIDM00616		
ACH-000477	MALME3M_SKIN	SIDM00011		
ACH-000478	SNU387_LIVER	SIDM01180		
ACH-000479	KNS81_CENTRAL_NERVOUS_SYSTEM	SIDM00605		
ACH-000480	HUH7_LIVER	SIDM00585		
ACH-000481	NCIH2170_LUNG	SIDM00716		
ACH-000482	RERFLCKJ_LUNG	SIDM00356		
ACH-000483	SNU182_LIVER	SIDM01151		
ACH-000484	VMRCRCW_KIDNEY	SIDM00318		
ACH-000485	GSU_STOMACH	SIDM01551		
ACH-000486	KU1919_URINARY_TRACT	SIDM01033		
ACH-000487	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01498		
ACH-000488	TE11_OESOPHAGUS	SIDM00348		
ACH-000489	SW1116_LARGE_INTESTINE	SIDM00835		
ACH-000490	SF767_CERVIX	SIDM00626		
ACH-000491	NCIH716_LARGE_INTESTINE	SIDM00779		
ACH-000492	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01689		
ACH-000493	SNU423_LIVER	SIDM01199		
ACH-000494	OELE_OVARY			
ACH-000495	TUHR4TKB_KIDNEY	SIDM01432		
ACH-000496	NCIH1792_LUNG	SIDM00771		
ACH-000498	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00018		
ACH-000499	EW8_BONE	SIDM01500		
ACH-000500	SNU46_UPPER_AERODIGESTIVE_TRACT	SIDM01448		
ACH-000501	LS123_LARGE_INTESTINE	SIDM00776		
ACH-000502	TCCPAN2_PANCREAS	SIDM01464		
ACH-000503	BICR16_UPPER_AERODIGESTIVE_TRACT	SIDM01520		
ACH-000504	SNB75_CENTRAL_NERVOUS_SYSTEM	SIDM00095		
ACH-000505	RKN_SOFT_TISSUE	SIDM00353		
ACH-000506	NCIH146_LUNG	SIDM00698		
ACH-000507	KE39_STOMACH	SIDM01582		
ACH-000508	CORL88_LUNG	SIDM00506		
ACH-000509	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00851		
ACH-000510	NCIH1299_LUNG	SIDM00649		
ACH-000511	CALU1_LUNG	SIDM01545		
ACH-000512	INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01555		
ACH-000513	SNU1272_KIDNEY	SIDM01335		
ACH-000514	NCIH1092_LUNG	SIDM00653		
ACH-000515	HCC33_LUNG	SIDM01071		
ACH-000516	CAL78_BONE	SIDM00929		
ACH-000517	SNU410_PANCREAS	SIDM01449		
ACH-000518	CAL33_UPPER_AERODIGESTIVE_TRACT	SIDM00942		
ACH-000519	PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00991		
ACH-000520	59M_OVARY	SIDM01528		
ACH-000521	NCIH2030_LUNG	SIDM00715		
ACH-000522	UMUC3_URINARY_TRACT	SIDM01182		
ACH-000523	NCIH1184_LUNG	SIDM01679		
ACH-000524	KURAMOCHI_OVARY	SIDM00554		
ACH-000525	NCIH2171_LUNG	SIDM00733		
ACH-000526	HS821T_FIBROBLAST	SIDM01698		
ACH-000527	OVISE_OVARY	SIDM00564		
ACH-000528	ABC1_LUNG	SIDM00494		
ACH-000529	T173_FIBROBLAST	SIDM01765		
ACH-000530	DMS114_LUNG	SIDM00865		
ACH-000531	RS5_FIBROBLAST	SIDM01772		
ACH-000532	SNU61_LARGE_INTESTINE	SIDM00194		
ACH-000533	NCIH2004RT_SOFT_TISSUE	SIDM01671		
ACH-000534	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00413		
ACH-000535	BXPC3_PANCREAS	SIDM00132		
ACH-000536	BT20_BREAST	SIDM00893		
ACH-000537	SNU761_LIVER	SIDM01439		
ACH-000538	HUTU80_SMALL_INTESTINE	SIDM00694		
ACH-000539	HS618T_FIBROBLAST	SIDM01565		
ACH-000540	HS606T_FIBROBLAST	SIDM01591		
ACH-000541	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01473		
ACH-000542	HEYA8_OVARY	SIDM01215		
ACH-000543	SNU489_CENTRAL_NERVOUS_SYSTEM	SIDM01446		
ACH-000544	OE21_OESOPHAGUS	SIDM00478		
ACH-000545	VMCUB1_URINARY_TRACT	SIDM00414		
ACH-000546	HSC4_UPPER_AERODIGESTIVE_TRACT	SIDM00588		
ACH-000547	HT1197_URINARY_TRACT	SIDM00676		
ACH-000548	BHY_UPPER_AERODIGESTIVE_TRACT	SIDM00986		
ACH-000549	SNU1076_UPPER_AERODIGESTIVE_TRACT	SIDM00168		
ACH-000550	IGR39_SKIN	SIDM01065		
ACH-000551	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00791		
ACH-000552	HT29_LARGE_INTESTINE	SIDM00136		
ACH-000553	SQ1_LUNG	SIDM01767		
ACH-000554	UACC893_BREAST	SIDM01186		
ACH-000555	A498_KIDNEY	SIDM00124		
ACH-000556	SIHA_CERVIX	SIDM01093		
ACH-000557	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01525		
ACH-000558	A172_CENTRAL_NERVOUS_SYSTEM	SIDM00799		
ACH-000559	NCIH1836_LUNG	SIDM00770		
ACH-000560	ECC10_STOMACH	SIDM00280		
ACH-000561	TT_OESOPHAGUS	SIDM00322		
ACH-000562	HCC78_LUNG	SIDM01068		
ACH-000563	EBC1_LUNG	SIDM00486		
ACH-000564	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01662		
ACH-000565	RCM1_LARGE_INTESTINE	SIDM00359		
ACH-000566	SW1710_URINARY_TRACT	SIDM00420		
ACH-000567	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01198		
ACH-000568	UACC812_BREAST	SIDM01187		
ACH-000569	ISTMES1_PLEURA	SIDM00224		
ACH-000570	YKG1_CENTRAL_NERVOUS_SYSTEM	SIDM00315		
ACH-000571	T98G_CENTRAL_NERVOUS_SYSTEM	SIDM01171		
ACH-000572	G361_SKIN	SIDM00857		
ACH-000573	MDAMB436_BREAST	SIDM00629		
ACH-000574	FUOV1_OVARY	SIDM01040		
ACH-000575	HCC364_LUNG	SIDM01597		
ACH-000576	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01573		
ACH-000577	JHH2_LIVER	SIDM00617		
ACH-000578	HCC1171_LUNG	SIDM01553		
ACH-000579	UACC257_SKIN	SIDM00108		
ACH-000580	C32_SKIN	SIDM00890		
ACH-000581	SNU16_STOMACH	SIDM01145		
ACH-000582	COLO741_SKIN	SIDM01483		
ACH-000583	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00637		
ACH-000584	JHOS4_OVARY	SIDM00303		
ACH-000585	EPLC272H_LUNG	SIDM01044		
ACH-000586	NCIH1876_LUNG	SIDM00766		
ACH-000587	NCIH1975_LUNG	SIDM00759		
ACH-000588	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01574		
ACH-000589	NCIH1437_LUNG	SIDM00734		
ACH-000590	NCIH2073_LUNG	SIDM00757		
ACH-000591	LN235_CENTRAL_NERVOUS_SYSTEM	SIDM01367		
ACH-000592	TM31_CENTRAL_NERVOUS_SYSTEM	SIDM01460		
ACH-000593	BC3C_URINARY_TRACT	SIDM01523		
ACH-000594	DMS153_LUNG	SIDM01504		
ACH-000595	LN229_CENTRAL_NERVOUS_SYSTEM	SIDM00684		
ACH-000596	LCLC97TM1_LUNG	SIDM00344		
ACH-000597	TTC709_SOFT_TISSUE	SIDM01455		
ACH-000598	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01658		
ACH-000599	PATU8902_PANCREAS	SIDM00455		
ACH-000600	SLR26_KIDNEY	SIDM01338		
ACH-000601	MIAPACA2_PANCREAS	SIDM00505		
ACH-000602	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01640		
ACH-000603	BEN_LUNG	SIDM00990		
ACH-000604	KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01471		
ACH-000605	TE6_OESOPHAGUS	SIDM00328		
ACH-000606	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	SIDM01324		
ACH-000607	KYM1_SOFT_TISSUE	SIDM00552		
ACH-000608	COV644_OVARY	SIDM01474		
ACH-000609	SF126_CENTRAL_NERVOUS_SYSTEM	SIDM00382		
ACH-000610	NCIH2227_LUNG	SIDM00730		
ACH-000611	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00407		
ACH-000612	HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01734		
ACH-000613	HOS_BONE	SIDM00806		
ACH-000614	RVH421_SKIN	SIDM00401		
ACH-000615	SKMEL28_SKIN	SIDM00081		
ACH-000616	HS746T_STOMACH	SIDM00665		
ACH-000617	OVCAR4_OVARY	SIDM00092		
ACH-000618	SNU1041_UPPER_AERODIGESTIVE_TRACT	SIDM00173		
ACH-000619	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	SIDM00473		
ACH-000620	JHH1_LIVER	SIDM00618		
ACH-000621	MDAMB157_BREAST	SIDM00529		
ACH-000622	KNS42_CENTRAL_NERVOUS_SYSTEM	SIDM00607		
ACH-000623	SNU201_CENTRAL_NERVOUS_SYSTEM	SIDM00158		
ACH-000624	HCC1806_BREAST	SIDM00875		
ACH-000625	HEP3B217_LIVER	SIDM00672		
ACH-000626	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00417		
ACH-000627	LCLC103H_LUNG	SIDM00345		
ACH-000628	NCIH596_LUNG	SIDM01127		
ACH-000629	IOMMLEE_CENTRAL_NERVOUS_SYSTEM	SIDM01733		
ACH-000630	YD8_UPPER_AERODIGESTIVE_TRACT	SIDM01413		
ACH-000631	KS1_CENTRAL_NERVOUS_SYSTEM	SIDM00555		
ACH-000632	HS944T_SKIN	SIDM00063		
ACH-000633	FU97_STOMACH	SIDM00503		
ACH-000634	LN340_CENTRAL_NERVOUS_SYSTEM	SIDM01643		
ACH-000635	SNU119_OVARY	SIDM01771		
ACH-000636	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00403		
ACH-000637	KYSE520_OESOPHAGUS	SIDM01025		
ACH-000638	NCIH441_LUNG	SIDM00925		
ACH-000639	NCIH211_LUNG	SIDM00704		
ACH-000640	SKMEL31_SKIN	SIDM01104		
ACH-000641	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00959		
ACH-000642	HMEL_BREAST	SIDM01708		
ACH-000643	HDQP1_BREAST	SIDM01062		
ACH-000644	COLO829_SKIN	SIDM00909		
ACH-000645	JL1_PLEURA	SIDM01696		
ACH-000646	OVMANA_OVARY	SIDM01378		
ACH-000647	TE1_OESOPHAGUS	SIDM00369		
ACH-000648	NCIH28_PLEURA	SIDM00720		
ACH-000649	786O_KIDNEY	SIDM00125		
ACH-000650	IGR37_SKIN	SIDM01066		
ACH-000651	SW620_LARGE_INTESTINE	SIDM00841		
ACH-000652	SUIT2_PANCREAS	SIDM00371		
ACH-000653	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01036		
ACH-000654	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00844		
ACH-000655	SF268_CENTRAL_NERVOUS_SYSTEM	SIDM00085		
ACH-000656	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00423		
ACH-000657	A2780_OVARY	SIDM00210		
ACH-000658	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01576		
ACH-000659	SCLC21H_LUNG	SIDM00029		
ACH-000660	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00406		
ACH-000661	WM1799_SKIN	SIDM01398		
ACH-000662	CORL23_LUNG	SIDM00512		
ACH-000663	OVTOKO_OVARY	SIDM00425		
ACH-000664	SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00390		
ACH-000665	SKMES1_LUNG	SIDM01103		
ACH-000666	NCIH1355_LUNG	SIDM00645		
ACH-000667	HCC44_LUNG	SIDM01069		
ACH-000668	HCC70_BREAST	SIDM00673		
ACH-000669	SW900_LUNG	SIDM01158		
ACH-000670	SBC5_LUNG	SIDM00368		
ACH-000671	HUH6_LIVER	SIDM00062		
ACH-000672	IALM_LUNG	SIDM00306		
ACH-000673	LN443_CENTRAL_NERVOUS_SYSTEM	SIDM01371		
ACH-000674	NUGC4_STOMACH	SIDM00570		
ACH-000675	NCIH1734_LUNG	SIDM00739		
ACH-000676	LN464_CENTRAL_NERVOUS_SYSTEM	SIDM00058		
ACH-000677	SW1573_LUNG	SIDM01163		
ACH-000678	MKN7_STOMACH	SIDM00560		
ACH-000679	OE19_OESOPHAGUS	SIDM00479		
ACH-000680	SW948_LARGE_INTESTINE	SIDM00832		
ACH-000681	A549_LUNG	SIDM00903		
ACH-000682	SNU1066_UPPER_AERODIGESTIVE_TRACT	SIDM00170		
ACH-000683	SNU503_LARGE_INTESTINE	SIDM00497		
ACH-000684	KMRC1_KIDNEY	SIDM00611		
ACH-000685	L33_PANCREAS	SIDM01752		
ACH-000686	SNU878_LIVER	SIDM01435		
ACH-000687	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01531		
ACH-000688	OV7_OVARY	SIDM00474		
ACH-000689	RH18_SOFT_TISSUE	SIDM00454		
ACH-000690	HCC2814_LUNG	SIDM01599		
ACH-000691	HCC2157_BREAST	SIDM00774		
ACH-000692	SNU899_UPPER_AERODIGESTIVE_TRACT	SIDM00169		
ACH-000693	KYSE180_OESOPHAGUS	SIDM01030		
ACH-000694	TE9_OESOPHAGUS	SIDM00325		
ACH-000695	CORL47_LUNG	SIDM01482		
ACH-000696	OVCAR8_OVARY	SIDM00090		
ACH-000697	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00495		
ACH-000698	DMS53_LUNG	SIDM00523		
ACH-000699	HCC1395_BREAST	SIDM00884		
ACH-000700	NCIH2882_LUNG	SIDM01385		
ACH-000701	RMUGS_OVARY	SIDM01347		
ACH-000702	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00313		
ACH-000703	DMS79_LUNG	SIDM00524		
ACH-000704	OAW42_OVARY	SIDM00480		
ACH-000705	LC1F_LUNG	SIDM00298		
ACH-000706	EKVX_LUNG	SIDM00119		
ACH-000707	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01254		
ACH-000708	SNU283_LARGE_INTESTINE	SIDM00215		
ACH-000709	KMRC2_KIDNEY	SIDM01660		
ACH-000710	NCIH854_LUNG			
ACH-000711	JIMT1_BREAST	SIDM01037		
ACH-000712	HCC1833_LUNG	SIDM01604		
ACH-000713	CAOV3_OVARY	SIDM00919		
ACH-000714	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00608		
ACH-000715	SNU1214_UPPER_AERODIGESTIVE_TRACT	SIDM00167		
ACH-000716	TT2609C02_THYROID	SIDM00418		
ACH-000717	COLO680N_OESOPHAGUS	SIDM00956		
ACH-000718	NCIH2291_LUNG	SIDM00728		
ACH-000719	RMGI_OVARY	SIDM00352		
ACH-000720	TCCSUP_URINARY_TRACT	SIDM01190		
ACH-000721	HMC18_BREAST	SIDM01622		
ACH-000722	SNUC1_LARGE_INTESTINE	SIDM01197		
ACH-000723	YD10B_UPPER_AERODIGESTIVE_TRACT	SIDM01782		
ACH-000724	HT1376_URINARY_TRACT	SIDM00678		
ACH-000725	HCC202_BREAST	SIDM00870		
ACH-000726	TE14_OESOPHAGUS	SIDM01762		
ACH-000727	NCIH2066_LUNG	SIDM00711		
ACH-000728	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01694		
ACH-000729	NCIH1963_LUNG	SIDM00760		
ACH-000730	SKMEL5_SKIN	SIDM00080		
ACH-000731	HCC2279_LUNG	SIDM01602		
ACH-000732	PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	SIDM01323		
ACH-000733	NCIH1838_LUNG	SIDM00769		
ACH-000734	JHH5_LIVER	SIDM01569		
ACH-000735	PECAPJ49_UPPER_AERODIGESTIVE_TRACT	SIDM01322		
ACH-000736	SNU601_STOMACH	SIDM01445		
ACH-000737	NCIH1385_LUNG	SIDM01676		
ACH-000738	GB1_CENTRAL_NERVOUS_SYSTEM	SIDM00581		
ACH-000739	HEPG2_LIVER	SIDM00904		
ACH-000740	A253_SALIVARY_GLAND	SIDM00796		
ACH-000741	UBLC1_URINARY_TRACT	SIDM01757		
ACH-000742	DM3_FIBROBLAST	SIDM01505		
ACH-000743	CORL95_LUNG	SIDM00521		
ACH-000744	NCIH1623_LUNG	SIDM00747		
ACH-000745	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00434		
ACH-000746	GSS_STOMACH	SIDM01511		
ACH-000747	NCIH1703_LUNG	SIDM00740		
ACH-000748	SJSA1_BONE	SIDM01112		
ACH-000749	DMS273_LUNG	SIDM00522		
ACH-000750	LOXIMVI_SKIN	SIDM00149		
ACH-000751	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00458		
ACH-000752	NCIH196_LUNG	SIDM00761		
ACH-000753	JMSU1_URINARY_TRACT	SIDM01587		
ACH-000754	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00327		
ACH-000755	HCC2218_BREAST	SIDM00772		
ACH-000756	GI1_CENTRAL_NERVOUS_SYSTEM	SIDM00273		
ACH-000757	A427_LUNG	SIDM00810		
ACH-000758	MKN74_STOMACH	SIDM00248		
ACH-000759	MDAMB175VII_BREAST	SIDM00633		
ACH-000760	LNZ308_CENTRAL_NERVOUS_SYSTEM	SIDM00682		
ACH-000761	NUGC2_STOMACH	SIDM01779		
ACH-000762	YD38_UPPER_AERODIGESTIVE_TRACT	SIDM01412		
ACH-000763	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01265		
ACH-000764	SH10TC_STOMACH	SIDM01343		
ACH-000765	WM983B_SKIN	SIDM01397		
ACH-000766	NCIH1648_LUNG	SIDM00746		
ACH-000767	NCIH526_LUNG	SIDM01128		
ACH-000768	MDAMB231_BREAST	SIDM00146		
ACH-000769	LK2_LUNG	SIDM00548		
ACH-000770	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00363		
ACH-000771	BICR56_UPPER_AERODIGESTIVE_TRACT	SIDM01518		
ACH-000772	TE441T_SOFT_TISSUE	SIDM01173		
ACH-000773	KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01581		
ACH-000774	RERFLCAD2_LUNG	SIDM01332		
ACH-000775	NCIH727_LUNG	SIDM01119		
ACH-000776	ONS76_CENTRAL_NERVOUS_SYSTEM	SIDM00567		
ACH-000777	KYSE30_OESOPHAGUS	SIDM00015		
ACH-000778	HSC3_UPPER_AERODIGESTIVE_TRACT	SIDM00589		
ACH-000779	PC9_LUNG	SIDM00236		
ACH-000780	NCIH1105_LUNG	SIDM00652		
ACH-000781	NCIH2023_LUNG	SIDM00753		
ACH-000782	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01424	SEM	
ACH-000783	CAMA1_BREAST	SIDM00920		
ACH-000784	KYSE70_OESOPHAGUS	SIDM01024		
ACH-000785	NCIH2126_LUNG	SIDM00775		
ACH-000786	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00845		
ACH-000787	LXF289_LUNG	SIDM00339		
ACH-000788	A2058_SKIN	SIDM00797		
ACH-000789	NCIH810_LUNG	SIDM01116		
ACH-000790	SHP77_LUNG	SIDM01078		
ACH-000791	RERFLCAD1_LUNG	SIDM01331		
ACH-000792	BFTC909_KIDNEY	SIDM00988		
ACH-000793	KATOIII_STOMACH	SIDM00687		
ACH-000794	BICR22_UPPER_AERODIGESTIVE_TRACT	SIDM00485		
ACH-000795	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00433		
ACH-000796	MCAS_OVARY	SIDM00008		
ACH-000797	HLFA_FIBROBLAST	SIDM01710		
ACH-000798	CL40_LARGE_INTESTINE	SIDM00960		
ACH-000799	HS695T_SKIN	SIDM01561		
ACH-000800	NCIH446_LUNG	SIDM00965		
ACH-000801	HS936T_SKIN	SIDM01750		
ACH-000802	BFTC905_URINARY_TRACT	SIDM00989		
ACH-000803	COLO668_LUNG	SIDM00143		
ACH-000804	NB1_AUTONOMIC_GANGLIA	SIDM00578		
ACH-000805	COLO679_SKIN	SIDM00284		
ACH-000806	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00329		
ACH-000807	SNU738_CENTRAL_NERVOUS_SYSTEM	SIDM01442		
ACH-000808	HUH28_BILIARY_TRACT	SIDM01735		
ACH-000809	KYSE410_OESOPHAGUS	SIDM01028		
ACH-000810	SKMEL30_SKIN	SIDM00392		
ACH-000811	SKOV3_OVARY	SIDM00079		
ACH-000812	COLO783_SKIN	SIDM00955		
ACH-000813	T3M10_LUNG	SIDM01764		
ACH-000814	HS939T_SKIN	SIDM00663		
ACH-000815	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01018		
ACH-000816	NCIH524_LUNG	SIDM01129		
ACH-000817	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00087		
ACH-000818	BT483_BREAST	SIDM00892		
ACH-000819	LN18_CENTRAL_NERVOUS_SYSTEM	SIDM00685		
ACH-000820	SW403_LARGE_INTESTINE	SIDM00836		
ACH-000821	EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01048		
ACH-000822	SKMEL24_SKIN	SIDM01106		
ACH-000823	KYSE140_OESOPHAGUS	SIDM01032		
ACH-000824	KYSE510_OESOPHAGUS	SIDM01026		
ACH-000825	HOP92_LUNG	SIDM00134		
ACH-000826	CAL12T_LUNG	SIDM00939		
ACH-000827	WM793_SKIN	SIDM00973		
ACH-000828	ZR7530_BREAST	SIDM00971		
ACH-000829	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01556		
ACH-000830	NCIH1436_LUNG	SIDM00697		
ACH-000831	HEC50B_ENDOMETRIUM	SIDM01614		
ACH-000832	CAL27_UPPER_AERODIGESTIVE_TRACT	SIDM00937		
ACH-000833	RH30_SOFT_TISSUE			
ACH-000834	UMUC1_URINARY_TRACT	SIDM01409		
ACH-000835	GCT_SOFT_TISSUE	SIDM00853		
ACH-000836	YD15_SALIVARY_GLAND	SIDM01411		
ACH-000837	NCIH322_LUNG	SIDM00117		
ACH-000838	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00993		
ACH-000839	SCABER_URINARY_TRACT	SIDM00032		
ACH-000840	HCC366_LUNG	SIDM01070		
ACH-000841	NCIH2087_LUNG	SIDM00708		
ACH-000842	SW480_LARGE_INTESTINE	SIDM00840		
ACH-000843	HARA_LUNG	SIDM00598		
ACH-000844	DMS454_LUNG	SIDM01503		
ACH-000845	NCIH1373_LUNG	SIDM01677		
